CSNameADC;HexCode;CSDecimal;CSNameWireshark;FrontendBuildsSupported;BackendBuildsSupported
TLS1-EXP1024-DHE-DSS-RC4-SHA;0x0065;101;TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-EDH-DSS-DES-CBCSHA;0x0011;17;TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EDH-RSA-DES-CBC-SHA;0x0015;21;TLS_DHE_RSA_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-EDH-RSA-DES-CBCSHA;0x0014;20;TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-RC4-MD5;0x0060;96;TLS_RSA_EXPORT1024_WITH_RC4_56_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-RC2-CBC-MD5;0x0061;97;TLS_RSA_EXPORT1024_WITH_RC2_CBC_56_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-RC4-MD5;0x0018;24;TLS_DH_anon_WITH_RC4_128_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-DES-CBC3-SHA;0x001b;27;TLS_DH_anon_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-DES-CBC-SHA;0x001a;26;TLS_DH_anon_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ADH-AES-128-CBC-SHA;0x0034;52;TLS_DH_anon_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ADH-AES-256-CBC-SHA;0x003a;58;TLS_DH_anon_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
